x,calendering,transverse
1.00000,0.0000,0.0000
1.00197,0.0129,0.0129
1.09500,0.5653,0.5382
1.09895,0.5840,0.5553
1.19585,0.9316,0.8280
1.19779,0.9372,0.8322
1.29667,1.1986,1.0361
1.29858,1.2034,1.0395
1.39747,1.4456,1.1941
1.39934,1.4500,1.1971
1.49826,1.6728,1.3679
1.50209,1.6815,1.3746
1.59708,1.8901,1.5294
1.59891,1.8937,1.5323
1.69786,2.0776,1.6776
1.69968,2.0813,1.6799
1.79845,2.3142,1.7978
1.79866,2.3147,1.7981
1.89748,2.5519,1.9625
1.89922,2.5561,1.9654
1.99829,2.8188,2.1202
1.99999,2.8238,2.1230
2.09912,3.1255,2.2999
2.10472,3.1424,2.3104
2.19797,3.4224,2.4905
2.20155,3.4337,2.4978
2.29881,3.7788,2.7020
2.30036,3.7850,2.7052
2.39969,4.2247,2.8998
2.40115,4.2314,2.9026
