stretch,stress,a2,b1,b2,c1,c2
0,0,0,0,0,0,0
6e-05,0,0.27,0,-2.141,0,0.683
0.0113,0,1.605,0,0.342,0,7.94
0.1065,0,12.486,-15.02,17.942,-23.772,31.419
0.1316,0,15.1,-14.398,21.067,-23.055,34.586
0.1396,0,15.884,-14.2,21.942,-22.823,35.503
0.3687,0,26.718,-8.203,37.503,-15.12,55.228
0.3757,0,26.895,-8.013,37.823,-14.864,55.706
0.4317,0,28.227,-6.476,40.2,-12.784,59.338
0.5236,0.238,30.185,-3.915,43.461,-9.274,64.298
0.6631,4.72,32.847,0.027,47.215,-3.804,68.973
0.6673,4.846,32.923,0.146,47.309,-3.638,69.077
0.6772,5.14,33.101,0.427,47.529,-3.246,69.318
0.7675,7.514,34.678,2.984,49.294,0.342,71.278
0.8075,8.434,35.35,4.111,49.956,1.93,72.06
0.8289,8.912,35.704,4.714,50.288,2.783,72.468
0.9199,10.829,37.152,7.25,51.562,6.382,74.13
1.0519,13.288,38.897,10.838,53.191,11.514,76.421
1.2668,16.773,40.687,16.334,55.625,19.367,79.965
1.2974,17.237,40.944,17.075,55.961,20.406,80.458
1.307,17.38,41.025,17.304,56.065,20.724,80.611
1.5098,20.316,42.788,21.857,58.231,26.805,83.778
1.5195,20.454,42.875,22.061,58.334,27.069,83.927
1.7252,23.31,44.718,26.078,60.448,32.23,86.948
1.7341,23.432,44.798,26.241,60.538,32.444,87.072
2.0619,27.869,47.782,31.84,63.787,40.222,91.441
2.1744,29.377,48.814,33.636,64.941,42.842,92.922
2.1752,29.388,48.821,33.648,64.949,42.86,92.932
2.3284,31.441,50.23,36.074,66.596,46.376,94.967
2.3417,31.618,50.352,36.286,66.741,46.676,95.144
2.3801,32.131,50.706,36.906,67.168,47.544,95.658
2.58,34.784,52.553,40.297,69.439,51.996,98.367
2.787,37.468,54.487,43.97,71.846,56.554,101.244
2.9365,39.339,55.912,46.471,73.607,59.921,103.394
2.9421,39.407,55.966,46.563,73.672,60.048,103.475
3.0731,40.986,57.251,48.736,75.225,63.095,105.439
3.1803,42.258,58.338,50.581,76.499,65.66,107.107
3.1913,42.387,58.451,50.775,76.63,65.926,107.281
3.2165,42.686,58.713,51.227,76.931,66.538,107.684
3.5841,47.267,62.72,58.498,81.375,75.601,113.8
3.5898,47.344,62.783,58.616,81.446,75.74,113.895
3.6137,47.674,63.051,59.117,81.745,76.329,114.298
3.6891,48.749,63.895,60.704,82.702,78.182,115.567
3.8085,50.562,65.222,63.236,84.269,81.339,117.59
3.8091,50.572,65.229,63.249,84.278,81.358,117.601
3.9372,52.659,66.63,66.021,86.036,85.379,119.829
4.1475,56.348,68.875,70.795,89.064,92.623,123.689
4.1934,57.188,69.357,71.892,89.743,94.269,124.568
4.2862,58.925,70.324,74.194,91.129,97.673,126.383
4.3803,60.753,71.292,76.674,92.551,101.244,128.265
4.4305,61.763,71.804,78.066,93.313,103.209,129.281
4.492,63.045,72.427,79.851,94.252,105.699,130.538
4.6608,66.919,74.111,85.305,96.841,113.216,134.029
4.7547,69.46,75.035,88.879,98.289,118.089,135.992
4.8616,72.824,76.078,93.842,99.941,124.739,138.236
4.984,77.212,77.268,101.17,101.836,135.007,140.815
4.9842,77.22,77.27,101.183,101.839,135.027,140.819
4.9996,77.79,77.42,102.199,102.078,136.584,141.145
5.0019,77.873,78.442,102.347,102.113,136.815,141.192
5.0233,78.659,78.65,102.75,102.445,139.053,141.644
5.0436,79.397,79.397,102.06,102.759,141.217,142.071
